"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size","Severity_Score","Vulnerability_Normalized","Risk_Normalized","Waiting_Factor","GatekeeperX_Priority_Score","Priority_Class","Security_Decision","Queue_Position","Service_Start_Time","Completion_Time","Actual_Waiting_Time","Turnaround_Time","Dynamic_Priority","Simulation_Queue_Position","Simulation_Status"
11,"PL-0165","IaC","Critical",15,19.12,6.28,100,"Intermediate","Large",100,93.75,100,0.762099120716182,88.83,"P1 - Critical","BLOCK",24,24.7,30.98,5.58,11.86,91.62,7,"Completed"
12,"PL-0110","SAST","Low",4,21.78,3.66,30.12,"Intermediate","Small",25,25,30.12,0.868123370773977,23.87,"P4 - Low","PASS",880,129.93,133.59,108.15,111.81,77.94,29,"Completed"
13,"PL-0020","DAST","Critical",4,21.8,5.77,100,"Junior","Small",100,25,100,0.868920545586442,75.09,"P2 - High","BLOCK",118,30.98,36.75,9.18,14.95,79.68,8,"Completed"
14,"PL-0297","Container","Medium",4,21.82,5.97,55.21,"Intermediate","Small",50,25,55.21,0.869717720398906,41.39,"P3 - Medium","PASS WITH MONITORING",650,55.98,61.95,34.16,40.13,58.47,14,"Completed"
15,"PL-0089","SCA","High",9,26.88,4.3,70.46,"Junior","Large",75,56.25,70.46,1.07140294795246,62.72,"P2 - High","WAIT / PRIORITIZE",285,43.53,47.83,16.65,20.95,71.04,11,"Completed"
16,"PL-0283","SCA","Low",3,29.85,3.29,17.34,"Senior","Medium",25,18.75,17.34,1.18978340760345,19.45,"P4 - Low","PASS",974,162.91,166.2,133.06,136.35,85.98,37,"Completed"
17,"PL-0109","IaC","Critical",4,32.59,2.83,98.05,"Intermediate","Large",100,25,98.05,1.29899635691111,74.64,"P2 - High","BLOCK",119,40.7,43.53,8.11,10.94,78.69,10,"Completed"
18,"PL-0005","SCA","Critical",7,32.98,3.95,87.91,"Intermediate","Small",100,43.75,87.91,1.31454126575417,75.86,"P2 - High","BLOCK",116,36.75,40.7,3.77,7.72,77.75,9,"Completed"
19,"PL-0212","IaC","Medium",5,33.76,3.38,51.05,"Junior","Medium",50,31.25,51.05,1.34563108344029,41.65,"P3 - Medium","PASS WITH MONITORING",644,70.97,74.35,37.21,40.59,60.25,17,"Completed"
20,"PL-0259","DAST","Medium",4,35.62,5.44,45.65,"Senior","Medium",50,25,45.65,1.4197683409995,39.05,"P4 - Low","PASS WITH MONITORING",702,95.71,101.15,60.09,65.53,69.1,22,"Completed"
21,"PL-0298","Container","Low",2,36.09,6.4,29.78,"Intermediate","Medium",25,12.5,29.78,1.43850194909242,21.34,"P4 - Low","PASS",939,176.5,182.9,140.41,146.81,91.54,40,"Completed"
22,"PL-0024","SCA","Medium",6,47.36,2.73,50.73,"Intermediate","Medium",50,37.5,50.73,1.88770995591623,42.87,"P3 - Medium","PASS WITH MONITORING",614,107.98,110.71,60.62,63.35,73.18,24,"Completed"
23,"PL-0158","SAST","Medium",3,49.9,3.52,41.63,"Junior","Medium",50,18.75,41.63,1.98895115709924,36.86,"P4 - Low","PASS WITH MONITORING",736,140.41,143.93,90.51,94.03,82.11,31,"Completed"
24,"PL-0299","DAST","Low",3,50.16,4.32,18.84,"Senior","Large",25,18.75,18.84,1.99931442966128,19.91,"P4 - Low","PASS",966,211.23,215.55,161.07,165.39,100,47,"Completed"
25,"PL-0136","SCA","Medium",2,52.91,2.37,46.41,"Intermediate","Large",50,12.5,46.41,2.10892596637517,36.81,"P4 - Low","PASS WITH MONITORING",737,143.93,146.3,91.02,93.39,82.32,32,"Completed"
26,"PL-0292","SAST","Medium",6,53.82,3.87,56.27,"Junior","Small",50,37.5,56.27,2.14519742034231,44.28,"P3 - Medium","PASS WITH MONITORING",567,110.71,114.58,56.89,60.76,72.72,25,"Completed"
27,"PL-0146","Container","Medium",4,54.16,6.16,62.98,"Junior","Medium",50,25,62.98,2.15874939215421,43.46,"P3 - Medium","PASS WITH MONITORING",601,119.6,125.76,65.44,71.6,76.18,27,"Completed"
28,"PL-0109","SAST","Medium",1,54.4,3.3,45.33,"Senior","Large",50,6.25,45.33,2.16831548990378,35.3,"P4 - Low","PASS WITH MONITORING",747,150.29,153.59,95.89,99.19,83.24,34,"Completed"
29,"PL-0197","SAST","High",6,64.81,5.34,68.43,"Junior","Small",75,37.5,68.43,2.58324497979162,58.62,"P3 - Medium","PASS WITH MONITORING",333,65.63,70.97,0.82,6.16,59.03,16,"Completed"
30,"PL-0004","Container","Medium",4,66.27,6.82,73.29,"Junior","Large",50,25,73.29,2.64143874110154,46.09,"P3 - Medium","WAIT / PRIORITIZE",515,133.59,140.41,67.32,74.14,79.75,30,"Completed"
31,"PL-0226","SAST","Medium",5,68.88,3.99,54.67,"Junior","Small",50,31.25,54.67,2.74547005412817,42.69,"P3 - Medium","PASS WITH MONITORING",618,146.3,150.29,77.42,81.41,81.4,33,"Completed"
32,"PL-0215","SCA","Medium",3,70.31,3.24,48.89,"Intermediate","Medium",50,18.75,48.89,2.80246805321939,38.75,"P4 - Low","PASS WITH MONITORING",707,173.26,176.5,102.95,106.19,90.22,39,"Completed"
33,"PL-0245","SAST","High",7,71.61,4.15,97.14,"Intermediate","Small",75,43.75,97.14,2.85428441602959,67.07,"P2 - High","WAIT / PRIORITIZE",207,79.2,83.35,7.59,11.74,70.86,19,"Completed"
34,"PL-0114","DAST","Low",1,72.93,6.48,24.38,"Senior","Small",25,6.25,24.38,2.90689795365226,18.89,"P4 - Low","PASS",983,238.36,244.84,165.43,171.91,100,54,"Completed"
35,"PL-0262","SAST","High",10,73.54,4.85,86.54,"Junior","Medium",75,62.5,86.54,2.93121178543243,68.18,"P2 - High","WAIT / PRIORITIZE",193,74.35,79.2,0.81,5.66,68.59,18,"Completed"
36,"PL-0130","SAST","Medium",3,74.07,3.11,48.11,"Junior","Medium",50,18.75,48.11,2.95233691796274,38.57,"P4 - Low","PASS WITH MONITORING",710,182.9,186.01,108.83,111.94,92.99,41,"Completed"
37,"PL-0003","IaC","Critical",13,82.02,5.02,100,"Intermediate","Small",100,81.25,100,3.26921390591743,86.58,"P1 - Critical","BLOCK",46,83.35,88.37,1.33,6.35,87.25,20,"Completed"
38,"PL-0258","DAST","High",10,84.54,7.34,93.04,"Junior","Small",75,62.5,93.04,3.36965793228797,69.85,"P2 - High","WAIT / PRIORITIZE",161,88.37,95.71,3.83,11.17,71.76,21,"Completed"
39,"PL-0186","DAST","Low",1,84.58,4.38,26.38,"Intermediate","Small",25,6.25,26.38,3.3712522819129,19.43,"P4 - Low","PASS",976,249.76,254.14,165.18,169.56,100,56,"Completed"
40,"PL-0138","SAST","Low",2,86.9,4.24,27.25,"Junior","Large",25,12.5,27.25,3.4637245601588,20.91,"P4 - Low","PASS",949,254.14,258.38,167.24,171.48,100,57,"Completed"
41,"PL-0040","SAST","Low",4,88.47,4.92,23.45,"Senior","Small",25,25,23.45,3.52630278293727,22.47,"P4 - Low","PASS",917,244.84,249.76,156.37,161.29,100,55,"Completed"
42,"PL-0005","SAST","Medium",4,90.32,3.78,43.41,"Senior","Large",50,25,43.41,3.60004145309025,38.71,"P4 - Low","PASS WITH MONITORING",708,215.55,219.33,125.23,129.01,100,48,"Completed"
43,"PL-0033","SCA","Low",2,91.02,2.92,14.47,"Junior","Small",25,12.5,14.47,3.62794257152651,17.73,"P4 - Low","PASS",994,258.38,261.3,167.36,170.28,100,58,"Completed"
44,"PL-0103","SCA","Medium",6,93.15,2.7,58.61,"Senior","Medium",50,37.5,58.61,3.71284168905399,45.02,"P3 - Medium","PASS WITH MONITORING",545,198.8,201.5,105.65,108.35,97.84,44,"Completed"
45,"PL-0228","SAST","Medium",5,96.41,3.75,52.48,"Senior","Small",50,31.25,52.48,3.84278118348573,42.25,"P3 - Medium","PASS WITH MONITORING",630,219.33,223.08,122.92,126.67,100,49,"Completed"
46,"PL-0109","Container","Low",1,96.41,5.8,7.75,"Intermediate","Medium",25,6.25,7.75,3.84278118348573,14.82,"P4 - Low","PASS",1000,270.37,276.17,173.96,179.76,100,61,"Completed"
47,"PL-0157","DAST","Critical",9,97.81,6.83,100,"Junior","Medium",100,56.25,100,3.89858342035825,81.64,"P1 - Critical","BLOCK",88,101.15,107.98,3.34,10.17,83.31,23,"Completed"
48,"PL-0076","SAST","Medium",4,98.81,3.99,55.85,"Junior","Small",50,25,55.85,3.93844216098148,41.86,"P3 - Medium","PASS WITH MONITORING",637,223.08,227.07,124.27,128.26,100,50,"Completed"
49,"PL-0265","SCA","Medium",4,101.13,2.1,48.15,"Senior","Medium",50,25,48.15,4.03091443922738,39.94,"P4 - Low","PASS WITH MONITORING",680,227.07,229.17,125.94,128.04,100,51,"Completed"
50,"PL-0035","SAST","Medium",7,105.42,5.17,67.81,"Senior","Small",50,43.75,67.81,4.20190843650104,48.62,"P3 - Medium","PASS WITH MONITORING",453,206.06,211.23,100.64,105.81,98.94,46,"Completed"
51,"PL-0221","IaC","High",5,105.64,3.98,79.18,"Intermediate","Large",75,31.25,79.18,4.21067735943815,60.22,"P2 - High","WAIT / PRIORITIZE",318,153.59,157.57,47.95,51.93,84.19,35,"Completed"
52,"PL-0016","SAST","Medium",3,108.03,3.84,38.91,"Junior","Small",50,18.75,38.91,4.30593974952767,36.41,"P4 - Low","PASS",740,261.3,265.14,153.27,157.11,100,59,"Completed"
53,"PL-0220","DAST","Medium",3,111.9,5.23,52.57,"Junior","Medium",50,18.75,52.57,4.46019307573958,39.84,"P4 - Low","PASS WITH MONITORING",682,265.14,270.37,153.24,158.47,100,60,"Completed"
54,"PL-0248","DAST","Low",1,111.93,4.44,17.87,"Senior","Large",25,6.25,17.87,4.46138883795828,17.41,"P4 - Low","PASS",995,281.86,286.3,169.93,174.37,100,63,"Completed"
55,"PL-0118","SAST","Medium",7,112.46,2.95,62.59,"Intermediate","Large",50,43.75,62.59,4.48251397048859,47.35,"P3 - Medium","PASS WITH MONITORING",481,229.17,232.12,116.71,119.66,100,52,"Completed"
56,"PL-0130","DAST","Medium",3,114.05,5.69,39.12,"Senior","Small",50,18.75,39.12,4.54588936807953,36.48,"P4 - Low","PASS",739,276.17,281.86,162.12,167.81,100,62,"Completed"
57,"PL-0082","SAST","Critical",16,114.55,5.02,100,"Junior","Small",100,100,100,4.56581873839114,90.46,"P1 - Critical","BLOCK",16,114.58,119.6,0.03,5.05,90.47,26,"Completed"
58,"PL-0110","SAST","Medium",2,114.63,3.78,54.56,"Junior","Small",50,12.5,54.56,4.569007437641,39.1,"P4 - Low","PASS WITH MONITORING",698,286.3,290.08,171.67,175.45,100,64,"Completed"
59,"PL-0296","SAST","Low",3,114.72,3.7,24.27,"Intermediate","Small",25,18.75,24.27,4.57259472429709,21.52,"P4 - Low","PASS",934,290.08,293.78,175.36,179.06,100,65,"Completed"
60,"PL-0149","DAST","High",6,117.08,7.06,82.23,"Junior","Medium",75,37.5,82.23,4.66666135216792,62.27,"P2 - High","WAIT / PRIORITIZE",289,166.2,173.26,49.12,56.18,86.83,38,"Completed"
61,"PL-0057","SCA","Medium",6,119.43,3.67,47.99,"Senior","Medium",50,37.5,47.99,4.76032939263251,42.47,"P3 - Medium","PASS WITH MONITORING",623,293.78,297.45,174.35,178.02,100,66,"Completed"
62,"PL-0100","SCA","Low",2,124.61,3.49,21.27,"Intermediate","Medium",25,12.5,21.27,4.96679766906085,19.56,"P4 - Low","PASS",971,297.45,300.94,172.84,176.33,100,67,"Completed"
63,"PL-0298","Container","Low",2,127.62,3.4,22.19,"Intermediate","Small",25,12.5,22.19,5.08677247833677,19.81,"P4 - Low","PASS",968,300.94,304.34,173.32,176.72,100,68,"Completed"
64,"PL-0091","SAST","Medium",6,130.61,4.6,61.36,"Junior","Small",50,37.5,61.36,5.20595011280024,45.86,"P3 - Medium","PASS WITH MONITORING",520,304.34,308.94,173.73,178.33,100,69,"Completed"
65,"PL-0269","SAST","Medium",2,130.67,4.18,49.82,"Senior","Small",50,12.5,49.82,5.20834163723763,37.98,"P4 - Low","PASS WITH MONITORING",722,308.94,313.12,178.27,182.45,100,70,"Completed"
66,"PL-0181","Container","Low",5,132.64,5.94,31.57,"Senior","Medium",25,31.25,31.57,5.2868633562654,25.92,"P4 - Low","PASS",832,313.12,319.06,180.48,186.42,100,71,"Completed"
67,"PL-0054","DAST","Low",2,134.29,5.86,18.01,"Intermediate","Small",25,12.5,18.01,5.35263027829373,18.79,"P4 - Low","PASS",986,319.06,324.92,184.77,190.63,100,72,"Completed"
68,"PL-0288","SCA","Low",4,134.51,1.98,21.52,"Junior","Medium",25,25,21.52,5.36139920123084,22.17,"P4 - Low","PASS",922,324.92,326.9,190.41,192.39,100,73,"Completed"
69,"PL-0208","DAST","High",6,138.67,6.24,72.82,"Intermediate","Medium",75,37.5,72.82,5.52721156222348,60.01,"P2 - High","WAIT / PRIORITIZE",321,232.12,238.36,93.45,99.69,100,53,"Completed"
70,"PL-0246","DAST","Medium",2,142.47,3.92,54.14,"Senior","Small",50,12.5,54.14,5.67867477659176,39.1,"P4 - Low","PASS WITH MONITORING",699,326.9,330.82,184.43,188.35,100,74,"Completed"
71,"PL-0060","DAST","Medium",4,143.88,5.57,51.51,"Intermediate","Large",50,25,51.51,5.73487560087051,40.95,"P3 - Medium","PASS WITH MONITORING",657,330.82,336.39,186.94,192.51,100,75,"Completed"
72,"PL-0285","SCA","High",11,145.68,4.56,87.93,"Intermediate","Large",75,68.75,87.93,5.80662133399233,70.06,"P2 - High","WAIT / PRIORITIZE",158,201.5,206.06,55.82,60.38,97.97,45,"Completed"
73,"PL-0108","SAST","Critical",8,147.65,5.34,100,"Junior","Small",100,50,100,5.8851430530201,80.59,"P1 - Critical","BLOCK",98,157.57,162.91,9.92,15.26,85.55,36,"Completed"
74,"PL-0126","IaC","Medium",4,148.14,4.09,44.75,"Intermediate","Medium",50,25,44.75,5.90467383592548,39.28,"P4 - Low","PASS WITH MONITORING",693,336.39,340.48,188.25,192.34,100,76,"Completed"
75,"PL-0112","SCA","High",10,148.34,3.76,88.53,"Junior","Large",75,62.5,88.53,5.91264558405013,68.97,"P2 - High","WAIT / PRIORITIZE",181,340.48,344.24,192.14,195.9,100,77,"Completed"
76,"PL-0072","SCA","Low",1,149,3.22,25.4,"Intermediate","Large",25,6.25,25.4,5.93895235286146,19.44,"P4 - Low","PASS",975,344.24,347.46,195.24,198.46,100,78,"Completed"
77,"PL-0285","DAST","High",10,150.37,7.96,88.34,"Junior","Medium",75,62.5,88.34,5.99355882751529,68.93,"P2 - High","WAIT / PRIORITIZE",182,347.46,355.42,197.09,205.05,100,79,"Completed"
78,"PL-0001","Container","Medium",8,150.4,5.46,58.65,"Intermediate","Small",50,50,58.65,5.99475458973398,47.76,"P3 - Medium","PASS WITH MONITORING",473,355.42,360.88,205.02,210.48,100,80,"Completed"
79,"PL-0141","Container","Medium",6,156.97,5.54,58.4,"Junior","Large",50,37.5,58.4,6.25662651562861,45.23,"P3 - Medium","PASS WITH MONITORING",540,360.88,366.42,203.91,209.45,100,81,"Completed"
80,"PL-0206","Container","Critical",9,161.29,6.32,100,"Intermediate","Small",100,56.25,100,6.42881627512097,81.89,"P1 - Critical","BLOCK",87,186.01,192.33,24.72,31.04,94.25,42,"Completed"
81,"PL-0299","SAST","Critical",6,164.68,4.02,97.63,"Junior","Medium",100,37.5,97.63,6.56393740583372,77.56,"P2 - High","BLOCK",109,366.42,370.44,201.74,205.76,100,82,"Completed"
82,"PL-0042","Container","Critical",13,173.29,6.47,100,"Senior","Medium",100,81.25,100,6.90712116259975,86.94,"P1 - Critical","BLOCK",44,192.33,198.8,19.04,25.51,96.46,43,"Completed"
83,"PL-0042","SCA","Medium",4,173.6,4.19,40.18,"Senior","Small",50,25,40.18,6.91947737219295,38.24,"P4 - Low","PASS WITH MONITORING",719,370.44,374.63,196.84,201.03,100,83,"Completed"
84,"PL-0248","Container","Medium",4,177.54,6.29,41.35,"Junior","Medium",50,25,41.35,7.07652081024848,38.55,"P4 - Low","PASS WITH MONITORING",712,374.63,380.92,197.09,203.38,100,84,"Completed"
85,"PL-0251","DAST","Low",4,178.07,5.74,32.02,"Junior","Large",25,25,32.02,7.09764594277879,24.96,"P4 - Low","PASS",857,380.92,386.66,202.85,208.59,100,85,"Completed"
86,"PL-0157","SCA","Medium",2,182.35,4.08,47.29,"Intermediate","Large",50,12.5,47.29,7.26824135264622,37.55,"P4 - Low","PASS WITH MONITORING",727,386.66,390.74,204.31,208.39,100,86,"Completed"
87,"PL-0025","SAST","Low",3,187.07,2.75,21.62,"Senior","Medium",25,18.75,21.62,7.45637460838787,21.15,"P4 - Low","PASS",945,390.74,393.49,203.67,206.42,100,87,"Completed"
88,"PL-0191","SCA","Medium",1,187.16,2.06,51.29,"Senior","Large",50,6.25,51.29,7.45996189504396,37.32,"P4 - Low","PASS WITH MONITORING",728,393.49,395.55,206.33,208.39,100,88,"Completed"
89,"PL-0032","Container","Critical",6,187.2,5.77,95.88,"Senior","Small",100,37.5,95.88,7.46155624466889,77.22,"P2 - High","BLOCK",110,395.55,401.32,208.35,214.12,100,89,"Completed"
90,"PL-0238","IaC","High",9,189.75,4.39,93.46,"Intermediate","Small",75,56.25,93.46,7.56319603325813,69.12,"P2 - High","WAIT / PRIORITIZE",176,401.32,405.71,211.57,215.96,100,90,"Completed"
91,"PL-0014","SAST","Low",1,191.96,3.78,27.5,"Junior","Medium",25,6.25,27.5,7.65128385003547,20.14,"P4 - Low","PASS",963,405.71,409.49,213.75,217.53,100,91,"Completed"
92,"PL-0111","DAST","Medium",2,196.01,5.49,40.32,"Intermediate","Small",50,12.5,40.32,7.81271174955956,35.86,"P4 - Low","PASS WITH MONITORING",743,409.49,414.98,213.48,218.97,100,92,"Completed"
93,"PL-0262","SAST","Low",1,198.72,2.43,24.93,"Junior","Medium",25,6.25,24.93,7.92072893664852,19.52,"P4 - Low","PASS",973,414.98,417.41,216.26,218.69,100,93,"Completed"
94,"PL-0299","SAST","High",8,199.75,5.01,74.24,"Junior","Large",75,50,74.24,7.96178343949045,63.11,"P2 - High","WAIT / PRIORITIZE",282,417.41,422.42,217.66,222.67,100,94,"Completed"
95,"PL-0208","DAST","High",8,202.02,6.49,86.81,"Senior","Medium",75,50,86.81,8.05226278070518,66.26,"P2 - High","WAIT / PRIORITIZE",228,422.42,428.91,220.4,226.89,100,95,"Completed"
96,"PL-0246","IaC","Medium",4,204.3,4.76,50.06,"Junior","Small",50,25,50.06,8.14314070932615,40.83,"P3 - Medium","PASS WITH MONITORING",661,428.91,433.67,224.61,229.37,100,96,"Completed"
97,"PL-0242","SAST","High",5,205.4,5.39,72.49,"Junior","Medium",75,31.25,72.49,8.1869853240117,58.94,"P3 - Medium","WAIT / PRIORITIZE",329,433.67,439.06,228.27,233.66,100,97,"Completed"
98,"PL-0287","Container","High",7,208.83,5.61,80.16,"Senior","Small",75,43.75,80.16,8.32370080434939,63.37,"P2 - High","WAIT / PRIORITIZE",279,439.06,444.67,230.23,235.84,100,98,"Completed"
99,"PL-0224","SAST","Medium",6,212.63,5.46,52.66,"Senior","Small",50,37.5,52.66,8.47516401871766,44.01,"P3 - Medium","PASS WITH MONITORING",583,444.67,450.13,232.04,237.5,100,99,"Completed"
100,"PL-0262","SAST","High",9,214.8,6.04,81.69,"Junior","Small",75,56.25,81.69,8.56165748587008,66.28,"P2 - High","WAIT / PRIORITIZE",226,450.13,456.17,235.33,241.37,100,100,"Completed"
101,"PL-0214","SAST","High",9,215.75,3.29,95.84,"Senior","Large",75,56.25,95.84,8.59952328946214,69.82,"P2 - High","WAIT / PRIORITIZE",162,456.17,459.46,240.42,243.71,100,101,"Completed"
102,"PL-0294","Container","Medium",3,216.49,5.91,39.83,"Intermediate","Small",50,18.75,39.83,8.62901875752334,37.07,"P4 - Low","PASS",732,459.46,465.37,242.97,248.88,100,102,"Completed"
103,"PL-0095","SAST","Low",3,218.61,2.71,29.08,"Junior","Medium",25,18.75,29.08,8.71351928764459,23.14,"P4 - Low","PASS",897,465.37,468.08,246.76,249.47,100,103,"Completed"
104,"PL-0006","SCA","High",5,218.94,3.82,76.56,"Intermediate","Small",75,31.25,76.56,8.72667267205025,60.01,"P2 - High","WAIT / PRIORITIZE",322,468.08,471.9,249.14,252.96,100,104,"Completed"
105,"PL-0252","Container","Medium",3,219.18,4.85,47.65,"Intermediate","Medium",50,18.75,47.65,8.73623876979983,39.04,"P4 - Low","PASS WITH MONITORING",703,471.9,476.75,252.72,257.57,100,105,"Completed"
106,"PL-0271","Container","High",5,219.74,5.4,80.98,"Junior","Small",75,31.25,80.98,8.75855966454884,61.12,"P2 - High","WAIT / PRIORITIZE",311,476.75,482.15,257.01,262.41,100,106,"Completed"
107,"PL-0034","SAST","Low",1,222.86,4.36,16.02,"Junior","Large",25,6.25,16.02,8.88291893529332,17.39,"P4 - Low","PASS",996,482.15,486.51,259.29,263.65,100,107,"Completed"
108,"PL-0188","SAST","High",9,230.29,4.74,92.66,"Intermediate","Medium",75,56.25,92.66,9.17906937812393,69.08,"P2 - High","WAIT / PRIORITIZE",178,486.51,491.25,256.22,260.96,100,108,"Completed"
109,"PL-0254","DAST","Medium",2,231.38,4.56,49.83,"Intermediate","Small",50,12.5,49.83,9.22251540540325,38.38,"P4 - Low","PASS WITH MONITORING",716,491.25,495.81,259.87,264.43,100,109,"Completed"
110,"PL-0268","SAST","High",5,232.6,5.27,74.41,"Junior","Small",75,31.25,74.41,9.27114306896359,59.53,"P3 - Medium","WAIT / PRIORITIZE",324,495.81,501.08,263.21,268.48,100,110,"Completed"
111,"PL-0128","Container","High",6,233.99,4.71,96.41,"Junior","Small",75,37.5,96.41,9.32654671842988,66.29,"P2 - High","WAIT / PRIORITIZE",225,501.08,505.79,267.09,271.8,100,111,"Completed"
112,"PL-0041","IaC","High",5,234.21,5.12,72.25,"Junior","Medium",75,31.25,72.25,9.33531564136699,59,"P3 - Medium","WAIT / PRIORITIZE",328,505.79,510.91,271.58,276.7,100,112,"Completed"
113,"PL-0193","SAST","High",5,237.21,4.79,74.83,"Intermediate","Small",75,31.25,74.83,9.45489186323669,59.65,"P3 - Medium","WAIT / PRIORITIZE",323,510.91,515.7,273.7,278.49,100,113,"Completed"
114,"PL-0066","DAST","High",8,239.59,6.97,80.01,"Senior","Large",75,50,80.01,9.54975566591998,64.71,"P2 - High","WAIT / PRIORITIZE",258,515.7,522.67,276.11,283.08,100,114,"Completed"
115,"PL-0152","SCA","Medium",6,240.05,1.59,38.25,"Senior","Small",50,37.5,38.25,9.56809068660667,40.52,"P3 - Medium","PASS",669,522.67,524.26,282.62,284.21,100,115,"Completed"
116,"PL-0098","SAST","Medium",5,242.69,2.94,59.37,"Junior","Small",50,31.25,59.37,9.673317761852,44.56,"P3 - Medium","PASS WITH MONITORING",558,524.26,527.2,281.57,284.51,100,116,"Completed"
117,"PL-0025","Container","Medium",4,243.6,3.96,44.42,"Intermediate","Medium",50,25,44.42,9.70958921581914,39.58,"P4 - Low","PASS WITH MONITORING",687,527.2,531.16,283.6,287.56,100,117,"Completed"
118,"PL-0107","SAST","Low",3,246.54,2.37,24.2,"Intermediate","Medium",25,18.75,24.2,9.82677391325144,22.03,"P4 - Low","PASS",923,531.16,533.53,284.62,286.99,100,118,"Completed"
119,"PL-0014","SAST","High",1,249.97,2.33,74.47,"Senior","Medium",75,6.25,74.47,9.96348939358912,54.61,"P3 - Medium","WAIT / PRIORITIZE",356,533.53,535.86,283.56,285.89,100,119,"Completed"
120,"PL-0162","IaC","High",6,251.22,4.35,79.18,"Intermediate","Small",75,37.5,79.18,10.0133128193682,62.05,"P2 - High","WAIT / PRIORITIZE",296,535.86,540.21,284.64,288.99,100,120,"Completed"
121,"PL-0124","SAST","Medium",6,252.69,4.37,59.45,"Senior","Large",50,37.5,59.45,10.0719051680843,45.87,"P3 - Medium","PASS WITH MONITORING",519,540.21,544.58,287.52,291.89,100,121,"Completed"
122,"PL-0194","IaC","High",8,254.34,3.69,87.06,"Junior","Small",75,50,87.06,10.1376720901126,66.53,"P2 - High","WAIT / PRIORITIZE",219,544.58,548.27,290.24,293.93,100,122,"Completed"
123,"PL-0095","IaC","Medium",8,255.59,5.25,61.19,"Senior","Small",50,50,61.19,10.1874955158917,48.82,"P3 - Medium","PASS WITH MONITORING",444,548.27,553.52,292.68,297.93,100,123,"Completed"
124,"PL-0032","SAST","Low",2,256.18,3.17,17.88,"Junior","Medium",25,12.5,17.88,10.2110121728594,19.24,"P4 - Low","PASS",979,553.52,556.69,297.34,300.51,100,124,"Completed"
125,"PL-0185","SCA","Low",1,259.39,2.61,25.35,"Junior","Medium",25,6.25,25.35,10.33895873026,19.87,"P4 - Low","PASS",967,556.69,559.3,297.3,299.91,100,125,"Completed"
126,"PL-0284","SAST","Low",1,262.49,3.22,8.8,"Senior","Medium",25,6.25,8.8,10.462520826192,15.75,"P4 - Low","PASS",999,559.3,562.52,296.81,300.03,100,126,"Completed"
